nome_eng_categoria,nome_ita_categoria
toys,giocattoli
gardening,giardinaggio
furniture,mobili
housewares,articoli per la casa
food,alimentari
fashion,moda
health and beauty,salute e bellezza
pets,animali
electronics,elettronica
sports and leisure,sport e tempo libero
baby products,articoli per l'infanzia
gift ideas,idee regalo
books,libri
industrial products,prodotti industriali
automotive,automobile
music,musica
travel,viaggi
stationery,cartoleria
party supplies,articoli per feste
construction,edilizia
art,arte
security,sicurezza
category unavaible,categoria non disponibile
