id_prodotto,nome_ita_categoria,lunghezza_nome,lunghezza_descrizione,numero_foto
3ff81cd0e0861e991bb0106c03c113ca,giocattoli,63,2314,8
83a26c42a5f94b7456425cd0cd20daf8,categoria non disponibile,60,1371,2
9d86a51639004c70d7b6037f43ecc070,giardinaggio,64,1210,4
ad5396bf96af6ede77130e54ad266c61,mobili,39,252,1
d38b73f9519632415b56acb83abc77fa,articoli per la casa,54,620,3
7a18f72d8f0acfbd60eea36f2644ce8e,alimentari,63,670,6
1949890685a12526806e9463ba1a3964,moda,47,1182,4
027cdd14a677a5834bc67a9789db5021,salute e bellezza,42,544,1
201ec8e4fb8456dd06265be68eb419a7,mobili,52,1743,2
52b668edc0d0c20cd9319bfda4019597,mobili,59,205,8
77cad52aa444e612b99517bebbb4abb2,animali,63,1451,2
d5448c89ef7dc8228e12ae75e180ba74,elettronica,44,101,1
1dc6a19ea34c75792743abebd47309d3,giocattoli,56,797,3
6e2c62713ec17c681eacdf653dddb4e5,giardinaggio,50,1430,5
3d37da85f5e66558333fb5daee494736,salute e bellezza,59,1828,1
2929be0cb603321a26091c3f376d52df,mobili,35,272,2
ddc50b859563aa0b3d663559f3696690,mobili,30,1343,1
54c31c4585d30843421c7ea07d80f84e,elettronica,41,717,1
cd2c03056720c7de4d6a59c1167bdee0,moda,50,554,3
69faf0d53eb73597d6cfd50175901a56,salute e bellezza,36,1732,2
817e1c2d22418c36386406ccacfa53e8,mobili,37,267,1
e7f5908a3c9844728d24e3322254b109,sport e tempo libero,27,372,4
34239894e175b17d8c84edc6c73b4dad,articoli per l'infanzia,35,221,5
10dd77710da08ea43018cb3b4cedff92,sport e tempo libero,58,1185,3
12715d8bb61f9c2c26219377d9737584,elettronica,53,1996,3
8bc9dee0f2da0b7ad43095be7ad8414f,idee regalo,41,1547,2
062619359d5f9a664606cb2a6ccb477a,salute e bellezza,64,1394,1
bfe05de8c1ac3259ae43ada77182d840,salute e bellezza,60,1090,1
0534940d69bf94dc61c0e722b4168235,mobili,32,337,1
8a90417eb713be09fd87a5d077ae06a2,sport e tempo libero,59,3949,10
473795a355d29305c3ea6b156833adf5,salute e bellezza,36,605,2
2b50a33b93e3b489f648b9166a62e13d,mobili,63,199,6
c42500bc89ec2aab54ff83f7c31b8773,elettronica,54,259,1
5f8c74f4a3d2b616857fcb7d4dd1f61a,libri,41,1009,1
35084deab9603bbb6035bb8638b1df89,mobili,49,100,1
7e7e1af4ab49963c6e1245b2dbd8f492,articoli per la casa,63,447,3
6c0d548acd149f30331671548dda66e8,sport e tempo libero,63,406,2
3ae08df6bcbfe23586dd431c40bddbb7,idee regalo,63,1642,3
5c12fb778168a77e3ffc8d7dd7a689fd,salute e bellezza,63,815,4
3e8a0f0a4389aa563b110eab167d99d4,articoli per l'infanzia,60,1212,4
f436a5130457df6b73cdb2c12a90ea2b,mobili,51,498,1
9805b37a2e4983fb5dbb5c8168590c44,prodotti industriali,47,563,2
d6f3bd7b1fc04fb1a2effb51ae44ab17,categoria non disponibile,47,348,4
d38001d747d4cd832d1ceb2c2d3ca15d,mobili,30,1466,2
bfce5e847034e1fbbc1ed0bff6a372c7,mobili,55,248,1
4a92216ec92c54fca6f132ae1988390d,giocattoli,36,355,3
cf78006a2a6b0429b9663edd99bb38f9,mobili,49,399,1
5e57a146ccdca976190821a00a059ebf,salute e bellezza,43,837,2
db7a58cce179f80f562fb714ceee9319,articoli per l'infanzia,51,132,1
e9eebb8e8ba0fadb9020f8ba1c003b48,salute e bellezza,36,210,1
5e80fe2cee2f6de9a494047ed35a2fe3,giardinaggio,63,1244,5
f9bcf9d8e89d012d7dc24fe4de0abd80,elettronica,36,398,1
79bcd1f7f00535c801244eb999d8d290,elettronica,47,607,3
79938780eb7ffb7289f59a9a283bc06b,salute e bellezza,54,1739,1
3c980d4656c6379e6dfd704a2cc48a88,articoli per l'infanzia,41,1098,2
c1488892604e4ba5cff5b4eb4d595400,mobili,59,426,2
af667947a84d9ff9d326b60ab75d1ae2,elettronica,54,363,1
ace91f88d635b9e5563e36cc0a0a8f09,mobili,49,466,2
f27f3e8b4b3836e4d6cd756dfb83e750,sport e tempo libero,48,1322,2
5b8423dc7f23089c9c59c5d140eb5a1c,giocattoli,59,1629,3
bb0697bdc552a255c992d331ca09afe3,elettronica,63,867,2
e96867993d08fadbc6f828871885f897,salute e bellezza,40,280,1
c62dee961914cc2e49239963b04258ec,mobili,63,1352,1
e7ffaa35a5caaca3366f5cc5705b5fb2,salute e bellezza,40,428,2
bf128b5dced56e2ec0391179eb70443d,articoli per l'infanzia,55,728,4
838944cf86ccee50e01a52fba21cf29b,salute e bellezza,63,1540,1
bd3024f7222c241a5e112251621397cb,sport e tempo libero,28,247,3
b76d57984db550fe9e6f3ad3467e3025,categoria non disponibile,63,1498,4
7721582bb750762d81850267d19881c1,articoli per la casa,63,837,1
5cca824e6a0eebe738c8a6381d0d9349,elettronica,63,978,1
66e08854f9319c6aa4874ca435598331,articoli per la casa,54,584,1
42d2add84cc80443a8128adc87b6a958,salute e bellezza,33,1458,2
d5f4f441812a9a67cf8fa6d6019192c8,salute e bellezza,51,1540,1
0980718a7bdcf89f5848b202b6394965,salute e bellezza,56,627,1
d9894482fba41f536a273ba2276d951f,categoria non disponibile,62,310,2
4c7d4a2efde21e3bf1660926fabc6a9d,salute e bellezza,60,316,3
cfd43c5e600d45ac029357406b05dd82,articoli per la casa,46,317,1
e08d86e1c599e2373d95380ac9a3ccc8,giardinaggio,54,926,8
c006d1427332464b79808bd9dfaec943,mobili,36,252,1
f0f3c686ec837b27ec9da08762d85317,automobile,41,353,2
660422061e06da17ca6101e9d6b7aae8,sport e tempo libero,35,1214,4
8bff0b13faf092077c3bba691c07ff16,salute e bellezza,33,396,4
f3dd572f31692bb5b6ab21d2af0673b1,idee regalo,56,730,1
8f1e43e0e3374ed8c84df748034d6179,salute e bellezza,59,2710,1
c66d6e9a7e915171e7e3102f9afee78c,moda,12,354,2
4632bc49b300378ed4f1d48f424d414e,automobile,33,513,2
e12685e3aebb14bb04c2b22992de81cd,mobili,55,630,1
0bfd2b8146cd034448f6e4c8ac8e47f0,elettronica,44,800,1
1dcff375b928a1807562ea4a895a8046,mobili,50,754,3
dd6a505f83dd3c6326aa9856519e0978,giocattoli,43,623,5
1d9c26a3cc1a9a167955e3922b597210,salute e bellezza,60,1038,1
5691a536d459e5cb326b7bedce928067,articoli per la casa,41,775,4
661e3bba6bdb874638367462b49ae590,categoria non disponibile,0,0,0
0f3c8906e5b08127d539956bc587074c,sport e tempo libero,27,293,4
2504bf725d7aa06820b73b85c5ca6653,articoli per la casa,44,250,2
bdcec8e22b04a8f4241d87bcfe9ea877,mobili,64,946,3
7cd29da0653abeb444703cc5a957f479,salute e bellezza,23,565,1
e095c986136fd680308f08bc98f20a53,idee regalo,63,2662,2
3cdff94d5455b793b415be775cace03c,salute e bellezza,54,340,1
b4b1c13bd539cdda68bd9a5e899767fb,elettronica,63,1548,3
2ef9d434efcd0544c16be36a03c7652a,salute e bellezza,39,525,2
4af813a3e5bc89370ef80fe126542076,giocattoli,43,1433,5
b6f134ff2933bb0ee1f36e2865f21a91,mobili,63,637,2
39731b928af43b0f49dd60d4706e403f,salute e bellezza,50,431,4
c3b7e4d83e530c27a8e6368296aece48,mobili,60,1972,2
